n,v_2_n,entry_v2_mean,entry_v2_max,long_slope_v2n,n_bits,n_entries,sqrt_n_bits,rds_end,expected_mono_end,expected_pe_end,res_mono_end,res_pe_end,res_mono_max_abs,res_pe_max_abs,shuf_pe_max_abs,res_mono_max_abs_over_sqrt_n,res_pe_max_abs_over_sqrt_n,shuf_pe_max_abs_over_sqrt_n
3,0,1.0001,13,+1.000000,99999,7152,316.2,6481,+7152.00,+2655.43,-671.00,+3825.57,2435.93,3825.84,3825.71,7.70,12.10,12.10
5,0,1.0000,13,+1.000000,99995,6905,316.2,3539,+6905.00,+2565.39,-3366.00,+973.61,3367.88,3303.99,989.99,10.65,10.45,3.13
7,0,0.9997,12,+1.000000,99990,6751,316.2,4180,+6751.00,+2511.42,-2571.00,+1668.58,2666.94,2536.84,1695.30,8.43,8.02,5.36
2,1,1.0000,1,+1.000000,99989,7212,316.2,5035,+7211.00,+7211.00,-2176.00,-2176.00,2730.80,2730.80,2176.47,8.64,8.64,6.88
6,1,1.7994,13,+1.000000,99987,6818,316.2,-967,+6818.00,-32.62,-7785.00,-934.38,8188.12,1784.20,980.27,25.89,5.64,3.10
4,2,2.3333,3,-0.333333,99986,7017,316.2,-5080,-2341.00,-5237.95,-2739.00,+157.95,2739.13,2538.62,389.24,8.66,8.03,1.23
12,2,2.8176,14,-0.333333,99996,6471,316.2,-8422,-2157.67,-8433.29,-6264.33,+11.29,6264.57,2433.90,199.52,19.81,7.70,0.63
8,3,3.5714,5,-1.571429,99987,6697,316.2,-11999,-10526.86,-14922.80,-1472.14,+2923.80,2388.57,2927.01,2929.86,7.55,9.26,9.27
16,4,4.7331,7,-2.733333,99985,6333,316.2,-19869,-17314.20,-22376.43,-2554.80,+2507.43,2558.67,3076.44,2522.88,8.09,9.73,7.98
32,5,5.8386,9,-3.838710,99997,5996,316.2,-25217,-23021.90,-28323.84,-2195.10,+3106.84,2644.19,3515.94,3110.71,8.36,11.12,9.84
64,6,6.9047,11,-4.904762,99995,5687,316.2,-30579,-27899.38,-33211.36,-2679.62,+2632.36,2686.00,3773.40,2640.31,8.49,11.93,8.35
128,7,7.9452,13,-5.944882,99999,5406,316.2,-34837,-32145.03,-37353.19,-2691.97,+2516.19,2691.97,3919.84,2521.40,8.51,12.40,7.97
256,8,8.9683,15,-6.968627,99998,5150,316.2,-38166,-35896.43,-40940.34,-2269.57,+2774.34,2269.57,4003.45,2783.77,7.18,12.66,8.80
