b,n,d,K,prec_lo,validated,pred_spike_baseb,pred_spike_decimal,observed_idx,observed_baseb,observed_decimal,gap_baseb,gap_pct
10,7,4,1936,80000,3161,4054.408163265306,4054.408163265306,218,4006.7358623570026,4006.7358623570035,-47.67230090830344,-1.1758140519801419
10,8,4,1740,80000,3073,3621.515625,3621.515625,208,3564.851976514976,3564.8519765149763,-56.66364848502417,-1.5646390724884465
10,9,4,1581,80000,2923,3270.222222222222,3270.222222222222,200,3209.862419277321,3209.8624192773214,-60.359802944901276,-1.8457401009245429
10,11,4,1339,80000,2526,2736.4462809917354,2736.4462809917354,258,2665.2109331898655,2665.2109331898655,-71.23534780186992,-2.6032065126472355
10,12,4,1245,80000,2383,2529.3125,2529.3125,260,2438.7601142181047,2438.7601142181047,-90.55238578189528,-3.5801185413781527
10,13,4,1165,80000,2368,2351.076923076923,2351.076923076923,288,2257.069129161644,2257.0691291616445,-94.00779391527885,-3.9984992831390693
10,15,4,1033,80000,2159,2060.24,2060.24,298,1950.7499444508348,1950.749944450835,-109.49005554916494,-5.314432083114829
10,20,4,812,80000,2030,1572.7725,1572.7725,322,1425.4531687276315,1425.4531687276317,-147.31933127236857,-9.36685574502152
3,2,8,2560,80000,5226,5194.0,2478.1677970139267,860,5172.893020413778,2468.097208430406,-21.106979586222224,-0.40637234474821377
3,3,8,2287,80000,5012,4616.888888888889,2202.815819567935,986,4584.368746594069,2187.2997684725688,-32.52014229481938,-0.7043735094661495
3,5,8,1674,80000,4269,3324.16,1586.027390088913,962,3263.2285019174320,1556.96,-60.93149808256794,-1.832989329110751
4,2,6,1636,80000,2364,3413.25,2054.9812654001676,310,3400.207650766521,2047.128988733763,-13.042349233478944,-0.3821094040424506
4,3,6,1465,80000,2185,3034.0,1826.650013689038,296,3007.3772236441714,1810.6215051871213,-26.62277635582859,-0.8774810928091163
4,5,6,1083,80000,1962,2184.48,1315.1880098561073,350,2140.8499235207259,1288.92,-43.63007647927407,-1.9972751629346144
6,2,5,3016,80000,1848,6868.75,5344.926401072652,202,6858.1018153986415,5336.64050291079,-10.64818460135848,-0.15502361567036912
6,3,5,2692,80000,2626,6105.555555555556,4751.045689842357,244,6085.101600121248,4735.12941884586,-20.453955434307318,-0.3350056395063983
6,5,5,1966,80000,2864,4396.0,3420.7528966864975,284,4353.694505946888,3387.8328235909707,-42.30549405311194,-0.9623633770043664
8,2,4,1636,80000,1105,3218.25,2906.369350636822,88,3208.730984394753,2897.7728229577037,-9.519015605247205,-0.29578235392673674
8,3,4,1465,80000,1402,2860.6666666666665,2583.4394227882863,118,2842.1773663096087,2566.7419207693406,-18.4893003570578,-0.6463283741688814
8,5,4,1083,80000,1464,2059.68,1860.0763844075661,146,2030.1591662344404,1833.4164150262357,-29.520833765559473,-1.4332728271168083
12,2,4,7876,222731,1285,17751.25,19156.8160939029,136,17742.477147851947,19147.348596390377,-8.772852148053062,-0.049421038789116606
12,3,4,7012,197983,1649,15778.888888888889,17028.280972358134,182,15761.477089634363,17009.490485142705,-17.41179925452525,-0.11034870311296897
12,5,4,5076,142548,2161,11360.8,12260.362300097857,250,11333.625697967263,12231.036302969693,-27.174302032735795,-0.23919356060080096
