n,spike_idx,L_at,log_b_a,k_best,offset_from_canonical,canonical
2,10,4.690240,38.651688,2,-0.008730,1
2,32,51.698101,619.648208,3,-0.000869,1
2,71,692.538246,12.980158,4,-35.160724,0
2,118,727.698883,8267.647857,4,-0.000087,1
2,273,9069.535509,583.975819,5,-659.163461,0
2,353,9694.979982,8.099112,5,-33.718988,0
3,16,6.041349,29.949516,2,-0.004408,1
3,44,48.045323,545.953765,3,-0.000435,1
3,162,650.045714,7341.954195,4,-0.000043,1
3,321,8076.146823,489.753189,5,-575.898934,0
4,16,8.694605,16.651556,2,+0.296665,0
4,52,43.096476,454.852327,3,-0.301465,0
4,78,515.277481,3.061829,4,-38.120459,0
4,148,553.397897,6186.249743,4,-0.000043,1
4,331,6834.240401,376.564993,5,-474.157539,0
5,18,9.995635,11.028269,2,+0.995635,0
5,56,42.999565,377.043980,3,-0.000435,1
5,178,478.999957,5265.045579,4,-0.000043,1
5,387,5853.047965,276.951944,5,-389.952035,0
6,11,3.514149,3.188928,2,-6.531608,0
6,22,11.041393,4.948999,2,+0.995635,0
6,72,41.045323,319.953760,3,-0.000435,1
6,188,421.045714,4559.954195,4,-0.000043,1
6,319,5045.322023,3.927627,5,-380.723734,0
6,425,5101.138107,199.770626,5,-324.907651,0
10,8,3.991270,10.062734,2,-13.707700,0
10,66,44.397505,172.245942,3,-0.301465,0
10,212,296.698927,2907.647422,4,-0.000043,1
