n,K,M_Ford,M_n,ratio,alpha_n2,alpha_n,diff_from_alpha_n2,diff_from_alpha_n,S_n,N_eq_K_times_n2,S_n_over_N
2,10000,2906,1040,0.357880,0.250000,0.500000,+0.107880,-0.142120,-29279.330835,40000,-0.731983
3,10000,2906,1555,0.535100,0.444444,0.666667,+0.090655,-0.131567,-71540.677416,90000,-0.794896
5,10000,2906,2008,0.690984,0.640000,0.800000,+0.050984,-0.109016,-124300.445827,250000,-0.497202
7,10000,2906,2234,0.768754,0.734694,0.857143,+0.034060,-0.088389,-158550.523973,490000,-0.323572
11,10000,2906,2449,0.842739,0.826446,0.909091,+0.016293,-0.066352,-195263.100762,1210000,-0.161374
13,10000,2906,2525,0.868892,0.852071,0.923077,+0.016821,-0.054185,-211071.012213,1690000,-0.124894
2,100000,26643,9729,0.365162,0.250000,0.500000,+0.115162,-0.134838,-479270.079164,400000,-1.198175
3,100000,26643,14506,0.544458,0.444444,0.666667,+0.100014,-0.122208,-1109685.690412,900000,-1.232984
5,100000,26643,18739,0.703337,0.640000,0.800000,+0.063337,-0.096663,-1915051.800944,2500000,-0.766021
7,100000,26643,20747,0.778704,0.734694,0.857143,+0.044010,-0.078439,-2382791.759288,4900000,-0.486284
11,100000,26643,22761,0.854296,0.826446,0.909091,+0.027849,-0.054795,-2939498.208409,12100000,-0.242934
13,100000,26643,23226,0.871749,0.852071,0.923077,+0.019678,-0.051328,-3103176.986839,16900000,-0.183620
2,1000000,248083,92081,0.371170,0.250000,0.500000,+0.121170,-0.128830,-7170311.645387,4000000,-1.792578
3,1000000,248083,136426,0.549921,0.444444,0.666667,+0.105476,-0.116746,-16128355.614831,9000000,-1.792040
5,1000000,248083,176124,0.709940,0.640000,0.800000,+0.069940,-0.090060,-27282884.202392,25000000,-1.091315
7,1000000,248083,194895,0.785604,0.734694,0.857143,+0.050910,-0.071539,-33816002.956403,49000000,-0.690123
11,1000000,248083,212691,0.857338,0.826446,0.909091,+0.030892,-0.051753,-41093400.743460,121000000,-0.339615
13,1000000,248083,217642,0.877295,0.852071,0.923077,+0.025224,-0.045782,-43420293.549321,169000000,-0.256925
2,10000000,2346562,879706,0.374891,0.250000,0.500000,+0.124891,-0.125109,-100632122.586216,40000000,-2.515803
3,10000000,2346562,1300775,0.554332,0.444444,0.666667,+0.109888,-0.112334,-221053363.491539,90000000,-2.456148
5,10000000,2346562,1677839,0.715020,0.640000,0.800000,+0.075020,-0.084980,-368926702.087996,250000000,-1.475707
7,10000000,2346562,1851757,0.789136,0.734694,0.857143,+0.054442,-0.068007,-452785909.050771,490000000,-0.924053
11,10000000,2346562,2017676,0.859843,0.826446,0.909091,+0.033397,-0.049247,-546603801.198189,1210000000,-0.451739
13,10000000,2346562,2063911,0.879547,0.852071,0.923077,+0.027476,-0.043530,-576197710.383019,1690000000,-0.340945
