n,index,pq_digits,pq_log10,pq_head24
2,10,39,38.6517,448423305416067328364878
2,32,620,619.6482,444844223290558150402634
2,71,13,12.9802,9553398564685
2,118,8268,8267.6479,444484442223289055981494
2,273,584,583.9758,945841880884135129457424
2,353,9,8.0991,125635395
3,16,30,29.9495,890258833304380741026145
3,44,546,545.9538,899011616743190597822155
3,162,7342,7341.9542,899901016196734020688696
3,321,490,489.7532,566486117476136124605848
4,16,17,16.6516,44828665021921150
4,52,455,454.8523,711748615443179523084965
4,148,6187,6186.2497,177722682484783288908424
4,331,377,376.5650,367276410825411743215112
5,18,12,11.0283,106725686491
5,56,378,377.0440,110657315459526522101771
5,178,5266,5265.0456,111065573215435961761692
5,387,277,276.9519,895249427558721799664165
6,22,5,4.9490,88920
6,72,320,319.9538,899000937210071379983899
6,188,4560,4559.9542,899900909127150646614569
6,425,200,199.7706,589692845315553904176637
10,8,11,10.0627,11554039817
10,66,173,172.2459,176174255683168487824680
10,212,2908,2907.6474,444040359236683033222985
