n,r,K_tuple,label,h_measured,h_expected_min,m_digits,q_master_num,q_master_den,q_direct_num,q_direct_den,spec_kind,q_spec_num,q_spec_den,direct_master_agree,spec_agree
2,2,1000000 1000001,n=2 r=2 mid,2,2,14,-15,1,-15,1,prime,-15,1,True,True
2,3,1000000 1000000000 1000000000000,n=2 r=3 spread mid-deep,3,3,29,602,1,602,1,prime,602,1,True,True
2,5,1000000 10000000 100000000 1000000000 10000000000,n=2 r=5 spread,5,5,44,180204024,1,180204024,1,prime,180204024,1,True,True
2,8,1000000 1000001 1000002 1000003 1000004 1000005 1000006 1000007,n=2 r=8 high-rank stress,8,8,53,-28466489112635175,1,-28466489112635175,1,prime,-28466489112635175,1,True,True
2,2,100000000000000000000000000000000000000000000000000 100000000000000000000000000000000000000000000000001,n=2 r=2 deep K=10^50,2,2,102,-15,1,-15,1,prime,-15,1,True,True
2,2,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,n=2 r=2 very deep K=10^100,2,2,202,-2047,1,-2047,1,prime,-2047,1,True,True
3,2,1000000 1000001,n=3 r=2 mid,2,2,14,-7,1,-7,1,prime,-7,1,True,True
3,3,1000000000 10000000000 100000000000,n=3 r=3 deep,3,3,32,6050,1,6050,1,prime,6050,1,True,True
5,2,1000000 1000001,n=5 r=2 mid,2,2,14,-5,1,-5,1,prime,-5,1,True,True
5,3,1000000 10000000 100000000,n=5 r=3 spread,3,3,24,12,1,12,1,prime,12,1,True,True
4,2,1000000 1000001,n=4 r=2 mid (expect h=r=2),2,2,14,-15,1,-15,1,n4,-15,1,True,True
4,2,2 2,"n=4 r=2 forced h>r (cof 2,2 → h=3)",3,2,2,-1,6,-1,6,n4,-1,6,True,True
4,3,2 2 2,"n=4 r=3 forced h>r (cof 2,2,2 → h=4)",4,3,3,1,3,1,3,n4,1,3,True,True
4,4,2 2 2 2,n=4 r=4 jump=2 (m=2^12 → h=6),6,4,4,-1,12,-1,12,out_of_declared_scope,,,True,
4,2,1000001 1000001,n=4 r=2 deep+forced h>r at K=10^6+1,3,2,14,-3,2,-3,2,n4,-3,2,True,True
4,3,1000000 10000000 100000000,n=4 r=3 spread,3,3,24,5794,1,5794,1,n4,5794,1,True,True
4,3,1000000 1000000000 1000000000000,n=4 r=3 spread mid-deep,3,3,30,5794,1,5794,1,n4,5794,1,True,True
6,2,1000000 1000001,n=6 r=2 mid,2,2,14,-11,1,-11,1,sq2,-11,1,True,True
6,2,2 3,"n=6 r=2 forced h>r (cof 2,3 → h=3)",3,2,3,-2,3,-2,3,sq2,-2,3,True,True
6,3,1 2 3,"n=6 r=3 forced h>r (cof 1,2,3 → h=4)",4,3,4,-3,4,-3,4,sq2,-3,4,True,True
6,2,4 8,"n=6 r=2 jump=2 (cof 4,9 → m=6^4)",4,2,4,-3,4,-3,4,sq2,-3,4,True,True
6,2,1000000 10000000,n=6 r=2 mid spread,2,2,15,-3,1,-3,1,sq2,-3,1,True,True
6,2,1000000000000 1000000000001,n=6 r=2 deep K=10^12,2,2,26,-7,1,-7,1,sq2,-7,1,True,True
10,2,1000000 1000001,n=10 r=2 mid,2,2,15,-15,1,-15,1,sq2,-15,1,True,True
10,2,2 5,"n=10 r=2 forced h>r (cof 2,5 → h=3)",3,2,4,-2,3,-2,3,sq2,-2,3,True,True
10,2,1000000 10000000,n=10 r=2 mid spread,2,2,16,-31,1,-31,1,sq2,-31,1,True,True
10,2,1000000000000 1000000000001,n=10 r=2 deep K=10^12,2,2,27,-63,1,-63,1,sq2,-63,1,True,True
