n,N,M_n,M_n_phi_over_N,ratio_to_n_eq_2,predicted_ratio,diff_from_predicted_ratio
2,10000,281,0.112546,1.000000,1.000000,+0.000000
3,10000,193,0.077300,0.686833,0.790123,-0.103291
5,10000,103,0.041253,0.366548,0.409600,-0.043052
7,10000,59,0.023631,0.209964,0.239900,-0.029936
11,10000,36,0.014419,0.128114,0.109282,+0.018832
13,10000,25,0.010013,0.088968,0.080669,+0.008299
2,100000,2541,0.119771,1.000000,1.000000,+0.000000
3,100000,1724,0.081262,0.678473,0.790123,-0.111650
5,100000,867,0.040866,0.341204,0.409600,-0.068396
7,100000,510,0.024039,0.200708,0.239900,-0.039192
11,100000,225,0.010605,0.088548,0.109282,-0.020734
13,100000,185,0.008720,0.072806,0.080669,-0.007863
2,1000000,23801,0.126952,1.000000,1.000000,+0.000000
3,1000000,15962,0.085139,0.670644,0.790123,-0.119479
5,1000000,7805,0.041631,0.327927,0.409600,-0.081673
7,1000000,4442,0.023693,0.186631,0.239900,-0.053269
11,1000000,2038,0.010870,0.085627,0.109282,-0.023655
13,1000000,1534,0.008182,0.064451,0.080669,-0.016218
2,10000000,226293,0.133242,1.000000,1.000000,+0.000000
3,10000000,151500,0.089203,0.669486,0.790123,-0.120637
5,10000000,72204,0.042514,0.319073,0.409600,-0.090527
7,10000000,41424,0.024391,0.183055,0.239900,-0.056845
11,10000000,18897,0.011127,0.083507,0.109282,-0.025775
13,10000000,14088,0.008295,0.062256,0.080669,-0.018414
2,100000000,2170269,0.138687,1.000000,1.000000,+0.000000
3,100000000,1445265,0.092357,0.665938,0.790123,-0.124185
5,100000000,684633,0.043750,0.315460,0.409600,-0.094140
7,100000000,389508,0.024891,0.179475,0.239900,-0.060426
11,100000000,176575,0.011284,0.081361,0.109282,-0.027921
13,100000000,130585,0.008345,0.060170,0.080669,-0.020499
