t,L1
0,1.99218750e+00
5,1.24259980e+00
10,7.43908600e-01
15,5.18432300e-01
20,3.89103100e-01
25,3.02514300e-01
30,2.41046900e-01
40,1.58365400e-01
50,1.07559200e-01
60,7.32615000e-02
70,5.13019000e-02
80,3.65439000e-02
90,2.63108000e-02
100,1.94910000e-02
120,1.14953000e-02
140,7.71330000e-03
160,6.66890000e-03
180,6.46750000e-03
200,5.58410000e-03
220,5.46210000e-03
240,5.66490000e-03
260,5.56310000e-03
280,5.47780000e-03
300,5.37330000e-03
340,4.71640000e-03
380,5.01630000e-03
420,4.62110000e-03
460,4.71880000e-03
500,4.51060000e-03
540,4.82960000e-03
600,4.43590000e-03
